thscode,name,industry,pool,score,verdict,roe,gross_margin,net_margin,ocf_to_ni,debt_ratio,revenue_yoy,net_profit_yoy,pe_ttm,pb_mrq,market_cap_yi,price,change_pct,red_flags,yellow_flags,green_highlights,reason,high_leverage_note
002688.SZ,金河生物,动物保健Ⅱ,exclude,0,RED,0.0126,0.338591,-0.0038169999999999996,17.01653502,0.557281,0.21406547,-0.72498491,103.296493,1.751115,40.0142287,5.2,-0.57,ROE 仅 1.3%，低于 5% 资本回报红线;净利同比下降 -72.5%，严重恶化,净利率 -0.4%，低于 5%，价格敏感度高;资产负债率 55.7%，超过 50%，杠杆偏高;PE(TTM) 103.3 > 40 且无 20%+ 高增长支撑，估值偏贵,经营现金流/净利润 17.02，高含金量利润;营收增长 21.4%，强成长,RED（红牌≥2 或综合分<4.5）,
002690.SZ,美亚光电,专用设备,star,8.7,GREEN,0.2605,0.5392049999999999,0.298778,1.3379024999999998,0.188795,0.04158481,0.10774336,18.51555,4.446158,134.53990725,15.25,0.93,,,高 ROE 26.1%，显示强护城河;高毛利率 53.9%，通常意味差异化/护城河;净利率 29.9%，出色的费用控制或定价权;经营现金流/净利润 1.34，高含金量利润;资产负债率仅 18.9%，财务结构稳健,,
002693.SZ,双成药业,化学制药,exclude,3.5999999999999996,RED,0.0473,0.547496,0.03223,3.2005854799999995,0.490745,0.58870235,1.24319301,126.707004,9.910976,41.22016115,9.94,-0.3,ROE 仅 4.7%，低于 5% 资本回报红线,净利率 3.2%，低于 5%，价格敏感度高,高毛利率 54.7%，通常意味差异化/护城河;经营现金流/净利润 3.20，高含金量利润;营收增长 58.9%，强成长;净利增长 124.3%，利润增长强劲,RED（红牌≥2 或综合分<4.5）,
002695.SZ,煌上煌,休闲食品,exclude,2.9000000000000004,RED,0.0296,0.32289,0.053679,4.68841463,0.248334,-0.0318549,1.02322869,74.782031,2.203464,61.94614817,11.07,0.18,ROE 仅 3.0%，低于 5% 资本回报红线,PE(TTM) 74.8 > 40 且无 20%+ 高增长支撑，估值偏贵;营收同比 -3.2%，负增长,经营现金流/净利润 4.69，高含金量利润;资产负债率仅 24.8%，财务结构稳健;净利增长 102.3%，利润增长强劲,RED（红牌≥2 或综合分<4.5）,
002696.SZ,百洋股份,饲料,exclude,0,RED,0.0294,0.088123,0.008357999999999999,-7.75860639,0.609103,0.31763467,3.6636021,128.360273,1.591371,21.64421492,6.26,1.62,ROE 仅 2.9%，低于 5% 资本回报红线;经营现金流/净利润仅 -7.76，低于 0.5（严重盈利质量隐患）,毛利率 8.8%，低于 20%（弱护城河风险）;净利率 0.8%，低于 5%，价格敏感度高;资产负债率 60.9%，超过 50%，杠杆偏高,营收增长 31.8%，强成长;净利增长 366.4%，利润增长强劲,RED（红牌≥2 或综合分<4.5）,
002697.SZ,红旗连锁,一般零售,watch,5.2,YELLOW,0.1042,0.29601900000000003,0.050297999999999995,2.45605511,0.423489,-0.05606704,-0.07783904,13.490517,1.285293,63.104,4.64,-1.07,,营收同比 -5.6%，负增长;净利同比 -7.8%，利润下滑,经营现金流/净利润 2.46，高含金量利润;PE(TTM) 13.5 < 15，估值有一定吸引力,,
002698.SZ,博实股份,自动化设备,exclude,4.2,RED,0.1431,0.357108,0.20552800000000002,0.70534211,0.40417499999999995,-0.01209033,0.07540816,26.431224,3.078362,130.06983234,12.72,-9.01,,经营现金流/净利润 0.71，低于 0.8（利润含金量存疑）;营收同比 -1.2%，负增长,净利率 20.6%，出色的费用控制或定价权,RED（红牌≥2 或综合分<4.5）,
002700.SZ,万憬能源,燃气Ⅱ,exclude,2.5,RED,0.0596,0.209419,0.116959,1.21533991,0.13588699999999998,-0.014688060000000001,-0.12766104,32.725793,1.804435,25.23131929,6.1,0.83,⚠️ 戴维斯双杀预警：营收下滑+净利下滑+PE>30，估值泡沫化,ROE 6.0%，低于 10% 良好线;营收同比 -1.5%，负增长;净利同比 -12.8%，利润下滑,经营现金流/净利润 1.22，高含金量利润;资产负债率仅 13.6%，财务结构稳健,RED（红牌≥2 或综合分<4.5）,
002701.SZ,奥瑞金,包装印刷,watch,4.9,YELLOW,0.1073,0.128423,0.042944,2.5666207400000003,0.6583969999999999,0.7567729799999999,0.27347009,14.210298,1.191479,122.10057437,4.77,-1.04,,毛利率 12.8%，低于 20%（弱护城河风险）;净利率 4.3%，低于 5%，价格敏感度高;资产负债率 65.8%，超过 50%，杠杆偏高,经营现金流/净利润 2.57，高含金量利润;PE(TTM) 14.2 < 15，估值有一定吸引力;营收增长 75.7%，强成长;净利增长 27.3%，利润增长强劲,,
002703.SZ,浙江世宝,汽车零部件,watch,4.6,YELLOW,0.08990000000000001,0.185351,0.056678,1.29760641,0.45167700000000005,0.3176139,0.21051752,69.259393,5.683497,120.26885454,14.62,0.83,,ROE 9.0%，低于 10% 良好线;毛利率 18.5%，低于 20%（弱护城河风险）;PE(TTM) 69.3 > 40 且无 20%+ 高增长支撑，估值偏贵,经营现金流/净利润 1.30，高含金量利润;营收增长 31.8%，强成长;净利增长 21.1%，利润增长强劲,,
002705.SZ,新宝股份,小家电,watch,5.1,YELLOW,0.1188,0.208073,0.064498,1.31952831,0.4401,-0.03739337,-0.05078652,11.299778,1.082498,93.93402775,11.57,-1.45,,营收同比 -3.7%，负增长;净利同比 -5.1%，利润下滑,经营现金流/净利润 1.32，高含金量利润;PE(TTM) 11.3 < 15，估值有一定吸引力,,
